LeftBreakpoint,RightBreakpoint,FFPM,LeftStrand,RightStrand,Total_Count_(SC+RC),Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Pattern,Splice_Site,Splice_Pattern_Class,Total_Mapped_Reads,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3,label
69312616,10344452,0.4858,+,-,8,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,16550981,Unknown,Unknown,O,O,69311063,69312089,1026,10338387,10344650,6263,1,No,2,8,1
3289197,156372332,1.6415,-,+,41,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,22854251,2,2,S,S,3279151,3290546,11395,156372198,156372850,652,2,Yes,10,4,1
148704361,177335383,0.3424,-,+,16,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,47142611,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
45965498,86891391,0.1022,-,-,3,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,29524081,1,9,S,E,45961966,45965926,3960,86888123,86893096,4973,3,Yes,3,17,1
13522254,10208897,0.502,-,-,2,Interchromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3984064,5,4,S,E,13520325,13523918,3594,10207727,10210231,2505,3,Yes,12,4,1
88328921,88210835,8.00282,-,+,156,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,19493135,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2,1
148704361,177335383,0.2369,-,+,5,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,21172762,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
13884193,21648539,0.5,+,+,2,Interchromosomal,Yes,No,InFrame,AA-AG,NonCanonicalPattern,3995133,2,2,M,M,13883167,13885063,1897,21647821,21649567,1747,14,Yes,3,3,1
13573491,13591228,1.9596,-,+,2,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,1020616,9,7,S,S,13572885,13575639,2755,13588948,13593662,4715,7,Yes,11,16,1
136110059,212988537,0.281097,+,-,8,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,28459877,1,6,M,E,136109201,136110262,1061,212986311,213003707,17396,2,Yes,1,13,1
75073609,179560837,0.440691,+,-,10,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,22691613,1,11,E,E,75072930,75074769,1839,179556090,179567809,11719,5,Yes,2,18,1
18848095,6094099,0.7618,+,-,3,Intrachromosomal,No,No,InFrame,GT-AT,NonCanonicalPattern,3937894,9,3,M,M,18842553,18849741,7189,6092682,6095080,2399,1,No,11,9,1
1605816,1599614,1.5164,+,+,6,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3956740,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
19537529,10081731,0.517,+,-,2,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,3868472,3,2,E,E,19537090,19538820,1731,10079998,10082057,2060,1,No,6,6,1
1605816,1599614,0.4837,+,+,4,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,8269589,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
409837105,409853555,0.1447,-,-,4,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,27672100,4,4,S,E,409835900,409838736,2836,409852087,409857399,5312,3,Yes,5,5,1
19537529,10081731,0.7694,+,-,3,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,3899142,3,2,E,E,19537090,19538820,1731,10079998,10082057,2060,1,No,6,6,1
13884194,21648540,0.6922,+,+,2,Interchromosomal,Yes,No,InFrame,AA-GA,NonCanonicalPattern,2889338,2,1,M,M,13883167,13885063,1897,21647821,21649567,1747,14,Yes,3,3,1
19391425,19401494,0.7606,-,-,25,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,32868787,1,2,S,E,19383372,19391614,8243,19398528,19401939,3412,1,No,6,11,1
49201761,49207699,0.8332,-,-,21,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,25238505,3,2,S,E,49195871,49202805,6934,49204695,49208195,3500,2,Yes,8,8,1
11564038,11242269,3.129,+,-,96,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,30534351,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
601191853,683769289,0.4283,+,+,16,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,37361723,1,Unknown,E,O,601191756,601192767,1011,683769319,683769794,475,1,No,4,3,1
17462369,19721654,0.4556,+,-,3,Intrachromosomal,No,No,InFrame,CT-GA,NonCanonicalPattern,6584709,6,8,M,M,17459873,17462516,2644,19721465,19723307,1843,3,Yes,6,9,1
11457626,7072983,0.507,+,-,2,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,3944773,1,8,E,E,11456802,11463896,7095,7072192,7076619,4428,3,Yes,12,8,1
10836510,10859913,0.62,-,-,2,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3225806,15,2,S,E,10835735,10840872,5138,10858232,10860322,2091,5,Yes,16,7,1
28208852,28209887,0.19641,+,+,5,Intrachromosomal,Yes,No,InFrame,GG-GT,NonCanonicalPattern,25456954,1,1,M,M,28208515,28208862,347,28209773,28211915,2142,6,Yes,1,2,1
11564038,11242269,2.9793,+,-,65,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,21957260,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
28208852,28209887,0.186154,+,+,6,Intrachromosomal,Yes,No,InFrame,GG-GT,NonCanonicalPattern,32231454,1,1,M,M,28208515,28208862,347,28209773,28211915,2142,6,Yes,1,2,1
17203708,8587556,0.7672,-,+,3,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,3910323,1,4,S,S,17203010,17204346,1337,8586335,8588180,1846,1,No,2,5,1
178375245,134951530,1.2169,+,+,55,Interchromosomal,Yes,Yes,InFrame,GT-AG,CanonicalPattern,45196816,1,2,E,S,178374985,178379549,4564,134951305,134952576,1271,1,No,5,4,1
220068283,219981559,0.411055,+,+,12,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,29193175,5,1,E,M,220063974,220076020,12046,219981543,219983203,1660,3,Yes,10,4,1
12815092,9914560,0.1207,-,+,5,Interchromosomal,No,Yes,Unknown,GT-AG,CanonicalPattern,41451103,1,3,S,S,12811788,12815514,3726,9913916,9917749,3833,6,Yes,7,7,1
11564038,11242269,2.60316,+,-,32,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,12292732,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
1605816,1599614,0.5052,+,+,2,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3958828,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
18149839,29883500,0.7602,+,-,3,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,3946330,2,16,E,E,18149197,18151295,2099,29882121,29887414,5294,1,No,5,20,1
18149839,29883500,0.8823,+,-,3,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,3400204,2,16,E,E,18149197,18151295,2099,29882121,29887414,5294,1,No,5,20,1
18208117,18211075,1.0116,-,-,4,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,3954132,1,3,M,E,18205235,18208218,2984,18208253,18211644,3392,4,Yes,10,12,1
1605816,1599614,0.7193,+,+,4,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,5561277.5,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
22638673,21884699,0.0626,+,+,2,Interchromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,31948881,4,4,M,M,22636085,22640104,4020,21881938,21885330,3393,1,No,4,5,1
12815092,9914560,0.1475,-,+,6,Interchromosomal,No,Yes,Unknown,GT-AG,CanonicalPattern,40710556,1,3,S,S,12811788,12815514,3726,9913916,9917749,3833,6,Yes,7,7,1
36001411,18675698,0.0631,+,-,2,Interchromosomal,No,No,FrameShift,CG-GA,NonCanonicalPattern,31695721,1,1,M,M,36001242,36002101,860,18675333,18675714,382,1,No,1,1,1
18208094,18211075,3.2901,-,-,13,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3951285.333,1,3,M,E,18205235,18208218,2984,18208253,18211644,3392,4,Yes,10,12,1
1605816,1599614,0.7646,+,+,3,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3923620,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
750140812,697742110,0.1518,-,-,4,Interchromosomal,Yes,Yes,Unknown,GT-AG,CanonicalPattern,26378135,5,6,S,E,750138856,750142385,3529,697740148,697743591,3443,2,Yes,10,11,1
4627193,19281968,0.122854,+,-,4,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,32559034,3,16,E,E,4626165,4633385,7220,19278760,19288817,10057,3,Yes,9,20,1
10836510,10859913,1.2658,-,-,5,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3950071,15,2,S,E,10835735,10840872,5138,10858232,10860322,2091,5,Yes,16,7,1
183446339,84954688,0.9044,-,+,25,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,27792905,8,4,S,S,183441099,183449008,7909,84952930,84957467,4537,2,Yes,15,8,1
88328921,88210835,13.6798,-,+,294,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,21491511,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2,1
750140812,697742110,0.157,-,-,9,Interchromosomal,Yes,Yes,Unknown,GT-AG,CanonicalPattern,42485736,5,6,S,E,750138856,750142385,3529,697740148,697743591,3443,2,Yes,10,11,1
16248979,13217973,0.1948,-,-,4,Interchromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,20533881,7,2,S,E,16248286,16250925,2640,13213100,13218724,5625,1,No,9,18,1
148704361,177335383,0.6738,-,+,15,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,22332479,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
19391425,19401494,0.7418,-,-,23,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,31005661,1,2,S,E,19383372,19391614,8243,19398528,19401939,3412,1,No,6,11,1
10935506,264971757,0.3038,+,+,7,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,11521819,4,3,E,S,10933582,10937576,3994,264969862,264973599,3737,1,No,9,8,1
697741731,750140256,0.1048,-,-,4,Interchromosomal,Yes,Yes,Unknown,GT-AG,CanonicalPattern,38164060,7,8,S,E,697740148,697743591,3443,750138856,750142385,3529,2,Yes,11,10,1
75073609,179560837,0.230201,+,-,6,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,26064210,1,11,E,E,75072930,75074769,1839,179556090,179567809,11719,5,Yes,2,18,1
4627193,19281968,0.415819,+,-,13,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,31263579,3,16,E,E,4626165,4633385,7220,19278760,19288817,10057,3,Yes,9,20,1
601191853,683769289,0.6737,+,+,27,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,40084460,1,Unknown,E,O,601191756,601192767,1011,683769319,683769794,475,1,No,4,3,1
150532175,213001866,0.1226,+,-,2,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,16390993,6,4,E,E,150530306,150551727,21421,213001231,213009505,8274,1,No,7,4,1
224575945,175939687,0.37455,+,-,12,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,32038453,6,5,M,M,224573067,224576214,3147,175939332,175949107,9775,2,Yes,6,5,1
21268380,21270720,0.1509,-,-,3,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,19880716,3,21,M,E,21268194,21269031,838,21269149,21276017,6869,1,No,3,26,1
183446339,84954688,0.1781,-,+,5,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,28174672,8,4,S,S,183441099,183449008,7909,84952930,84957467,4537,2,Yes,15,8,1
13573491,13591228,1.013,-,+,4,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,3948667,9,7,S,S,13572885,13575639,2755,13588948,13593662,4715,7,Yes,11,16,1
20038967,20029143,0.7946,+,+,3,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3775582.75,1,2,E,S,20038670,20041210,2541,20028052,20030055,2004,1,No,9,2,1
697741731,750140256,0.1001,-,-,2,Interchromosomal,Yes,Yes,Unknown,GT-AG,CanonicalPattern,20002310,7,8,S,E,697740148,697743591,3443,750138856,750142385,3529,2,Yes,11,10,1
1605816,1599614,0.7071,+,+,5,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,7070867.5,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
69312616,10344452,0.3207,+,-,12,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,37448226,Unknown,Unknown,O,O,69311063,69312089,1026,10338387,10344650,6263,1,No,2,8,1
13573491,13591228,0.7703,-,+,3,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,3894587,9,7,S,S,13572885,13575639,2755,13588948,13593662,4715,7,Yes,11,16,1
28208852,28209887,1.43363,+,+,45,Intrachromosomal,Yes,No,InFrame,GG-GT,NonCanonicalPattern,31388752,1,1,M,M,28208515,28208862,347,28209773,28211915,2142,6,Yes,1,2,1
26462091,13234074,0.8429,-,+,26,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,30845889,9,1,S,M,26453784,26465951,12168,13232746,13234909,2164,1,No,21,1,1
1591400,168184217,0.227026,-,+,7,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,30833417,1,2,S,S,1571478,1591655,20177,168179210,168220211,41001,1,No,17,11,1
13573491,13591228,2.3849,-,+,6,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,2515829,9,7,S,S,13572885,13575639,2755,13588948,13593662,4715,7,Yes,11,16,1
274384166,72738221,0.153702,+,-,4,Interchromosomal,No,Yes,InFrame,AT-AG,NonCanonicalPattern,26024313,1,2,M,M,274383766,274409275,25509,72729302,72738636,9334,1,No,8,3,1
49646738,49668741,1.37195,-,-,19,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,13848946,8,8,S,E,49638181,49666926,28745,49668126,49672715,4589,2,Yes,7,8,1
48027483,75991491,0.2647,-,+,7,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,25238505,2,3,S,S,48026789,48028431,1642,75990471,75991985,1514,2,Yes,3,3,1
42088684,12567216,1.1553,-,-,29,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,25206127,3,10,S,E,42088552,42089954,1402,12566874,12571003,4129,1,No,4,10,1
11564038,11242269,2.1859,+,-,93,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,42858007,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
10836510,10859913,1.4671,-,-,4,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,2726475.333,15,2,S,E,10835735,10840872,5138,10858232,10860322,2091,5,Yes,16,7,1
750140812,697742110,0.2276,-,-,9,Interchromosomal,Yes,Yes,Unknown,GT-AG,CanonicalPattern,39541158,5,6,S,E,750138856,750142385,3529,697740148,697743591,3443,2,Yes,10,11,1
1605816,1599614,1.2915,+,+,3,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,2322970,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
40359321,289357927,0.2461,+,-,7,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,28613243,2,4,M,M,40358583,40364914,6331,289355952,289359060,3108,2,Yes,4,7,1
1536096,1529704,0.5653,-,-,5,Intrachromosomal,Yes,No,InFrame,TA-AT,NonCanonicalPattern,8844562.25,1,4,M,M,1535950,1538870,2921,1526963,1533909,6947,1,No,1,13,1
1605816,1599614,0.7614,+,+,3,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3940183,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
11564038,11242269,1.5431,+,-,37,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,24167971,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
76808018,23474905,0.5829,+,+,15,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,26030236,2,1,M,M,76807247,76808273,1026,23474705,23477676,2971,1,No,2,3,1
16224419,11438406,0.1552,+,+,4,Interchromosomal,Yes,No,InFrame,CG-AA,NonCanonicalPattern,25773195,1,2,M,M,16224026,16225286,1261,11437989,11440989,3001,6,Yes,2,4,1
69620683,69599842,0.2028,-,-,5,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,24753525,4,2,M,E,69616462,69625030,8568,69582056,69611743,29687,1,No,4,16,1
13522254,10208897,0.8466,-,-,3,Interchromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3543651,5,4,S,E,13520325,13523918,3594,10207727,10210231,2505,3,Yes,12,4,1
6279971,148937947,0.358478,+,-,8,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,22316554,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6,1
49646738,49668741,0.7638,-,-,13,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,17266642,8,8,S,E,49638181,49666926,28745,49668126,49672715,4589,2,Yes,7,8,1
15100061,77252,1.5233,+,+,6,Interchromosomal,Yes,Yes,InFrame,TA-GG,NonCanonicalPattern,3938812,9,2,M,M,15098041,15100783,2743,76481,77672,1192,3,Yes,9,2,1
11290040,18856627,0.5026,-,+,2,Interchromosomal,No,No,InFrame,CT-GC,NonCanonicalPattern,3979421,4,1,M,M,11288378,11293799,5422,18855955,18858552,2598,1,No,7,4,1
11564038,11242269,0.5815,+,-,15,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,25901824,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
13884184,21648530,0.5074,+,+,2,Interchromosomal,Yes,No,InFrame,GC-TC,NonCanonicalPattern,3941404,2,1,M,M,13883167,13885063,1897,21647821,21649567,1747,14,Yes,3,3,1
69312616,10344452,0.4538,+,-,9,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,19878730,Unknown,Unknown,O,O,69311063,69312089,1026,10338387,10344650,6263,1,No,2,8,1
11564038,11242269,3.1556,+,-,98,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,31263579,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
761487649,637837429,0.1986,-,+,6,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,30249176,1,1,M,M,761487142,761487820,678,637837317,637837866,549,1,No,2,1,1
148704361,177335383,0.5209,-,+,9,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,17332066,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
13884193,21648539,0.289,+,+,2,Interchromosomal,Yes,No,InFrame,AA-AG,NonCanonicalPattern,6921173.333,2,2,M,M,13883167,13885063,1897,21647821,21649567,1747,14,Yes,3,3,1
13573491,13591228,0.8561,-,+,3,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,3504264,9,7,S,S,13572885,13575639,2755,13588948,13593662,4715,7,Yes,11,16,1
512282792,585067304,0.1035,-,-,4,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,38651593,1,1,S,M,512280900,512282893,1993,585065580,585067305,1725,2,Yes,5,3,1
17203708,8587556,0.5057,-,+,2,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,3954914,1,4,S,S,17203010,17204346,1337,8586335,8588180,1846,1,No,2,5,1
19537529,10081731,1.1392,+,-,4,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,3511236,3,2,E,E,19537090,19538820,1731,10079998,10082057,2060,1,No,6,6,1
76808018,23474905,1.2122,+,+,40,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,33140849,2,1,M,M,76807247,76808273,1026,23474705,23477676,2971,1,No,2,3,1
1605816,1599614,0.5114,+,+,2,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3910578,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
148704361,177335383,0.1764,-,+,5,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,28605410,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
16353052,15890850,0.2719,-,-,3,Interchromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,11033468,4,4,M,E,16342728,16353898,11171,15888840,15891988,3149,1,No,16,11,1
1605816,1599614,0.7492,+,+,2,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,2669514,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
16263699,16174672,0.5079,+,-,2,Intrachromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,3937783,6,8,E,E,16260803,16265270,4468,16174001,16176172,2172,2,Yes,8,10,1
